ID;collection;kingdom;phylum;class;order;family;genus;host;compartment
LjRoot173;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot174A;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot174B;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot175;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot176;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot177;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Lotus japonicus;Root
LjRoot178;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot179;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot18;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dyella;Lotus japonicus;Root
LjRoot180;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot181;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot182;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot183;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot184;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Lotus japonicus;Root
LjRoot185A;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot185B;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Lotus japonicus;Root
LjRoot186;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Lotus japonicus;Root
LjRoot187;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot188;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot189;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot19;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Lotus japonicus;Root
LjRoot190;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot191;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot192;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot193;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot194;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot195;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot196;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella;Lotus japonicus;Root
LjRoot197;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot198;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot199;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot2;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Shinella;Lotus japonicus;Root
LjRoot20;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot200;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
